company_number,company_name,company_status,company_type,date_of_creation,date_of_cessation,sic_codes,postcode,has_charges,has_been_liquidated,n_officers_total,n_officers_active,n_filings_total,n_filings_year1
07160239,SOVEREIGN CARE LIMITED,active,ltd,2010-02-17,,['86900'],BH14 0HU,False,False,2,2,46,1
07170818,RRR CONSULTANCY LIMITED,active,ltd,2010-02-26,,"['72200', '96090']",DN21 5RF,False,False,2,2,34,1
07292598,WORLD MEDIA AND EVENTS LIMITED,active,ltd,2010-06-22,,['93290'],W1W 7LT,False,False,4,1,64,2
07171911,SPICE FUSION (UCKFIELD) LIMITED,active,ltd,2010-03-01,,['56101'],TN22 1AP,False,False,1,1,28,1
07402861,NIMBUS SOFTWARE LIMITED,active,ltd,2010-10-11,,"['62012', '63110']",NR6 7HW,False,False,2,2,56,1
07397636,XAKT LTD,active,ltd,2010-10-05,,['70229'],TN9 2BL,False,False,2,1,40,2
SC390717,T. C. JEWELLERS LIMITED,active,ltd,2010-12-22,,['32120'],G12 8RE,False,False,1,1,34,1
07231595,CREST APARTMENTS (ILFRACOMBE) LIMITED,active,ltd,2010-04-22,,['55900'],SS3 0LS,False,False,10,5,55,11
07229681,PRETTY GRAPH LIMITED,active,ltd,2010-04-20,,['62012'],SE15 3AN,False,False,1,1,34,5
07310546,ATC ACCOUNTANTS LIMITED,active,ltd,2010-07-09,,['69202'],WC2H 7AS,False,False,6,1,55,3
07394376,JAIV LTD,active,ltd,2010-10-01,,['47910'],RM13 8UP,False,False,1,1,46,2
07240450,HANSEN & ASSOCIATES LTD,active,ltd,2010-04-30,,['68100'],TN13 3AF,False,False,2,2,31,1
07241692,BEM BRASIL LIVERPOOL LIMITED,active,ltd,2010-05-04,,['56101'],M1 1FJ,False,False,2,1,51,2
07446120,J P E SYSTEMS LIMITED,active,ltd,2010-11-22,,['62020'],NG9 1AJ,False,False,3,3,44,1
07256979,KERRYDEAN LTD,active,ltd,2010-05-18,,['43320'],EN9 2HB,False,False,1,1,35,1
07418296,PSYCHOTHERAPYUK TRAINING LIMITED,active,ltd,2010-10-25,,['86900'],W1W 8QR,False,False,2,1,43,1
07209629,BLACKTHORN TRAINING & CONSULTANCY LTD,active,ltd,2010-03-31,,['85590'],YO42 1PJ,False,False,5,2,37,1
07125916,CDR ELECTRICAL (MIDLANDS) LTD,active,ltd,2010-01-14,,['43210'],B91 2SX,False,False,1,1,37,2
07241954,BLOXHAM PROFESSIONAL SERVICES LTD,active,ltd,2010-05-04,,['70229'],LD2 3BP,False,False,2,1,40,1
07336653,SIMLEC LIMITED,active,ltd,2010-08-05,,['43210'],CR2 9BW,False,False,3,2,40,3
07401782,BLUEUK. LTD,active,ltd,2010-10-08,,['72190'],M27 5TD,False,False,1,1,34,1
07228357,WESTBUILD (DONCASTER) LIMITED,active,ltd,2010-04-20,,['41100'],WF9 4BA,False,False,2,2,40,2
07120335,LONDON SMART LTD,active,ltd,2010-01-08,,['47110'],NW2 1NT,False,False,3,1,45,3
07226957,MCDANIEL & CO. LIMITED,active,ltd,2010-04-19,,['69102'],NE8 3DF,False,False,6,2,76,2
07219776,HYGENO LTD,active,ltd,2010-04-12,,['32990'],HU15 2TB,False,False,2,2,36,1
07233994,M JONES WEB DESIGN LIMITED,active,ltd,2010-04-23,,['62020'],M21 0ZL,False,False,2,2,38,1
07248149,BULLET RECORDS LIMITED,active,ltd,2010-05-10,,['99999'],HP5 1EG,False,False,1,1,43,1
SC372352,GP CCC 2010 LIMITED,active,ltd,2010-02-04,,['64999'],EH3 9WJ,False,False,12,5,62,7
07252176,GOLDFIELD DEVELOPMENTS LIMITED,active,ltd,2010-05-13,,['41100'],EC4M 7RD,False,False,9,6,54,10
07245019,3G TRUCK & TRAILER PARTS LTD,active,ltd,2010-05-06,,['45310'],S62 6EF,False,False,11,3,89,7
07291926,CHATERS WHOLESALE LTD,active,ltd,2010-06-22,,['46900'],EN4 8AL,False,False,3,2,41,4
07298533,HARRISON VARMA PROJECTS LIMITED,active,ltd,2010-06-29,,['41202'],N3 1XW,False,False,5,1,69,5
07245647,WESTMOUNT MUSIC LTD,active,ltd,2010-05-06,,['47591'],SL7 3LX,False,False,2,2,31,1
SC384219,INVERNESS EVERGREEN LIMITED,active,ltd,2010-08-24,,['56103'],G3 7SP,False,False,2,1,33,3
07449408,COYLE CONSULTING LTD,active,ltd,2010-11-24,,['64999'],HP13 6EH,False,False,1,1,39,1
07249322,COTTONED ON LTD,active,ltd,2010-05-11,,"['14190', '82990']",KT13 8LU,False,False,4,1,37,1
