company_number,n_filings_total,n_filings_year1
07616911,38,3
07634072,33,1
07546402,43,1
07584520,35,1
07537750,53,1
07867026,52,2
07625614,36,1
07555838,63,3
07635808,83,2
07643049,35,1
NI610474,38,1
07619667,41,3
07632991,47,1
07693598,36,9
NI606783,32,1
07785431,44,2
07584963,39,1
07846794,30,3
07625310,34,1
07841146,35,2
07632651,49,1
SC399188,32,1
07844088,37,1
07844079,37,1
07617184,47,1
07576237,32,1
07737635,78,14
07646393,37,3
07621990,31,2
07618602,30,1
07508182,75,7
07567426,51,4
07774158,39,1
07809985,53,1
07623492,48,8
07697457,31,1
07621091,31,1
NI607188,39,11
07611198,31,1
07610636,32,2
07773730,30,3
07626850,31,2
07604860,38,3
07641854,31,1
07600976,54,4
07635671,37,3
07721213,28,1
07599942,30,1
07635997,33,1
07587606,66,12
07634747,29,1
07584441,30,1
07628201,30,1
07640478,53,14
07588846,39,2
07881450,28,1
07619096,31,2
07712774,31,1
07653310,36,3
07699518,38,1
07733893,51,3
07621425,34,1
07636112,31,1
07617394,33,1
07636388,43,10
07605460,39,1
07755969,30,1
07875489,29,1
07740970,28,1
07631112,32,2
07594961,49,8
07728572,45,4
07641361,70,1
07620703,58,1
07493170,37,1
07525936,40,5
07759587,38,2
07640067,46,8
07535892,31,2
07640349,38,1
07600613,46,1
07564414,40,1
07639529,38,2
07551648,39,1
07653611,41,1
07552091,42,1
07505994,38,4
07511417,43,2
07687032,60,1
07713536,44,1
07731057,51,3
07580103,52,1
07884200,43,3
07686452,37,1
07740703,41,4
07573769,41,2
07560649,40,4
07492411,36,1
07633718,43,3
07542311,36,2
07628736,33,1
07747536,34,2
07609853,52,1
07565726,34,1
07766255,38,2
07826206,41,1
07614480,38,2
07604795,38,1
07757713,39,1
07611254,43,1
07726862,43,1
07788608,73,15
07779115,40,6
07832068,55,2
07737296,34,1
07628668,51,3
07747307,39,7
SC401988,54,7
07531143,33,1
07646051,41,2
07588032,30,2
07604309,32,1
07613311,34,3
07521071,51,3
07569077,44,1
07663464,45,2
07556925,47,1
07687315,69,5
07662314,40,1
07555642,33,1
07549153,48,1
07876153,48,2
07574519,72,3
07570964,54,1
07660965,42,2
07657641,38,4
07617866,38,1
07784802,39,2
07641697,45,4
07640592,45,3
07622429,53,2
07633338,41,4
07633595,49,3
07497996,32,1
07760945,36,1
07640919,64,4
07639192,31,2
07640378,34,1
07667676,40,2
07701226,51,5
07843144,35,1
OC370495,63,4
OC367738,44,1
OC363775,43,1
OC366204,48,3
OC365611,48,3
OC365858,38,1
OC368790,46,4
OC366317,48,1
OC360863,35,1
OC365659,52,7
OC365370,37,4
OC369923,51,1
OC368642,32,1
