company_number,name,role,nationality
11066930,"BALLANTYNE, Darrell",director,British
05984434,"BURTON, Jeanette",secretary,British
05984434,"BURTON, Nicholas Christian",director,British
15745472,"MARSDEN, Sam",secretary,
15745472,"MARSDEN, Sam",director,British
16680978,"GILBEY, Alice Dorothy Rose",director,British
15660020,"MCCLUE, Cameron Ross Walker",director,British
05769006,"CASEY, Pierce",secretary,
05769006,"BLYTHE, Mark Rupert",director,British
05769006,"CASEY, Pierce",director,Irish
05769006,"COILEY, Sarah Elizabeth",director,British
05769006,"MARTIN, Simon",director,British
05769006,"SCAIFE, Matthew Richard",director,British
05769006,"HALLIDAY, Martin John",secretary,British
05769006,"MORNINGTON, Arthur",secretary,British
05769006,"WOOD, Adrian Steven",secretary,British
05769006,TRAVERS SMITH SECRETARIES LIMITED,corporate-secretary,
05769006,"BAINES, Simon David Stanhope",director,British
05769006,"CAMPIN, Richard Loxton",director,British
05769006,"EASINGWOOD, Timothy Edward",director,British
05769006,"GRAY, Bernard Peter",director,British
05769006,"GUNTON, James Michael",director,British
05769006,"HALLIDAY, Martin John",director,British
05769006,"LENANE, James Richard St John",director,British
05769006,"MOORE, John Gerard",director,Irish
05769006,"SISSONS, Paul",director,British
05769006,"STOREY, Graham Neil",director,British
05769006,"TIMS, Mark",director,British
05769006,"WEEKS, John Kenneth",director,British
05769006,"WOOD, Adrian Steven",director,British
05769006,TRAVERS SMITH LIMITED,corporate-director,
05769006,TRAVERS SMITH SECRETARIES LIMITED,corporate-director,
14029460,"KARAMI, Mohamad Hosein",director,British
OC449682,"BALAKRISHNAN, Banusan",llp-designated-member,
OC449682,"DEBAZ, Pierre Philippe",llp-designated-member,
OC449682,"KOHLER, Tyler-Jordan",llp-designated-member,
OC449682,"BRANKOVIC, Aleksandar",llp-designated-member,
15907767,"BOAKYE, Diana",secretary,
15907767,"BOATENG, Nana Kwaku",director,British
15907767,"KENNETT, Jasmine Guinevere",director,British
06160358,"GARNER, Lianne",director,British
06160358,"CROSBY, Darren Steven",secretary,British
06160358,"LEWIS, Jamie Patrick",director,British
11258982,"COZENS, Adam Ross",director,British
11258982,"COZENS, Victoria Hilary",director,British
12807255,"HAMMES, Christo",director,British
13868078,"BATCHELOR, Steven James",director,British
13868078,"BOUGH, Stephen",director,British
13868078,"BROCKMAN, Matthew Edward",director,British
13868078,"CLINE, Alan",director,American
13868078,"HUMPHRIES, Nicholas James",director,British
13868078,"SIMSON, Justin Von",director,German
13868078,"SUKAWATY, Andrew",director,American
13868078,"ALI, Moynul",director,British
13868078,"JESSOP, Andrew David",director,British
13868078,"MARSHALL, Phil",director,British
08162518,"NOCTOR, Maria",director,British
08162518,"NOCTOR, Stephen Andrew",director,British
16326997,"GOHIL, Kuldipsinh Girirajsinh",director,British
16326997,"THORIA, Jasmin Tribhovan, Dr",director,British
10152816,"ZEINA, Angela",director,British
14319540,"KHAN, Ali Azhar",director,British
17048431,"PANDIT, Amit",director,British
06591612,"BEHAN, Peter",director,British
06591612,"ELGIE, Daniel David",director,British
06591612,"PEASE, Merope Ann",director,British
06591612,"PEASE, Peter Gordon Charles",director,British
12860421,"CHAMBERS, Ann",director,British
12172634,"DEVARAJ, Sanjit Roshan",director,British
12172634,"EVANS, Clare Joanne",director,British
12172634,"EVANS, Russell Barrie",director,British
08811762,"HRYNIEWICZ, Piotr",director,Polish
08811762,"ALEKSIEJUK, Radosław Rupert",director,Polish
08811762,"KOZUB, Kamila",director,Polish
08811762,"KOZUB, Mateusz Lukasz",director,Polish
08811762,"KRASKOWSKA, Iwona Ewa",director,Polish
08811762,"KUDYBA, Monika",director,Polish
08811762,"ULANOWSKI, Andrzej",director,Polish
16494055,"DORAN, Shona Cressida Phyllis",director,British
14476547,"ROBBINS, James Andrew Edward",director,British
14476547,"ROBLETT, Andrew",director,British
12991667,"BRIERLEY, Martin Ashton",director,British
12991667,"THORNE, Thomas William",director,British
16092926,"CHAUDET, Guillaume, Monsieur",secretary,
16092926,"CHAUDET, Guillaume, Monsieur",director,French
09474513,"ROSE, Phillip",director,British
15331373,"BOTA, Sorin-Andrei",director,Romanian
12005418,"MARSH, Michael Christopher",director,British
16905018,"FERRONATTO, Eduardo",director,Brazilian
16991224,"SANTANA JUNIOR, Jose Vergilio",director,Brazilian
16975365,"SANTANA JUNIOR, Jose Vergilio",director,Brazilian
06377353,"BRIDGES, Mark",director,British
06377353,"BOUDIER, Ann",secretary,British
06377353,SAMEDAY COMPANY SERVICES LIMITED,corporate-secretary,
06377353,"BOUDIER, Joseph",director,British
06377353,"TURNER, Christian William",director,British
06377353,WILDMAN & BATTELL LIMITED,corporate-director,
04497345,"KANDA, Gurmeet",secretary,
04497345,"KANDA, Gurmeet",director,British
04497345,"KANDA, Rakesh Kumar",director,British
04497345,"ARDERN, Danielle",secretary,British
04497345,NOMINEE SECRETARY LTD,corporate-nominee-secretary,
04497345,"KANDA, Rajan",director,British
04497345,"KHAN, Nadeem",director,British
04497345,NOMINEE DIRECTOR LTD,corporate-nominee-director,
OC344855,"KANDA, Gurmeet",llp-designated-member,
OC344855,"KANDA, Rakesh Kumar",llp-designated-member,
OC344855,"KANDA, Rajan",llp-designated-member,
OC344855,"VERMA, Arun",llp-designated-member,
14715037,"DOLLAMORE, Andrew",director,British
10792182,"KOSTENSKA, Aneliya",director,Bulgarian
10792182,"PANCHEV, Nedelin",director,Bulgarian
10792182,"DOBCHEV, Atanas Mihaylov",director,Bulgarian
04360252,"DEAN, Stephen Edward",secretary,British
04360252,"DEAN, Stephen Edward",director,British
04360252,"REVILL, Kevin Shaun",director,British
07761785,"WRIGHT, Jason Anthoney",director,British
07761785,"SOBUS, Jolanta",secretary,
07761785,"SOBUS, Jolanta",director,Polish
15181520,"BROWN, Andre",secretary,
15181520,"BROWN, Andre Nathan",director,British
16761228,"BAKER, Jack Daniel",director,British
16761228,"BRADLEY, Joseph Andrew",director,British
16503774,"MULGROVE, Joseph John",director,British
